Type,Year,County,Population,Incidence,Legend
Neuroinvasive disease cases,1999-2022,16073,11378,4.76,>1.10
Neuroinvasive disease cases,1999-2022,16075,22561,2.22,>1.10
Neuroinvasive disease cases,1999-2022,16083,78108,0.80,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16085,9639,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,16087,10135,5.34,>1.10
Neuroinvasive disease cases,1999-2022,17001,67214,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17005,17727,0.94,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17007,54123,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17009,6883,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17011,34631,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17015,15229,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17019,203239,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17021,34705,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17023,16205,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17027,38024,0.88,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17029,53632,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17031,5219636,0.88,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17033,19779,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17035,11084,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17037,104466,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17039,16549,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17043,924866,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17045,18397,0.68,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17049,34268,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17051,22385,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17053,13875,0.90,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17055,40038,0.94,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17057,36909,0.68,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17059,5490,0.76,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17063,50103,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17067,18999,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17069,4291,0.97,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17071,7221,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17073,50293,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17077,60378,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17079,9755,0.85,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17081,38758,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17085,22638,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17089,519091,0.43,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17091,113532,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17093,116817,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17095,52702,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17097,701652,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17099,113527,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17103,35611,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17105,38813,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17107,30271,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17109,32527,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17111,308519,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17113,170939,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17115,110699,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17117,47742,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17119,268666,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17121,39147,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17125,14470,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17127,15281,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17129,12700,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17133,33273,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17135,29866,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17137,35482,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17139,14859,1.40,>1.10
Neuroinvasive disease cases,1999-2022,17141,53073,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17143,186775,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17145,22267,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17147,16683,0.50,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17153,5990,0.70,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17157,33375,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17159,16189,0.77,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17161,147474,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17163,270097,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17165,24904,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17167,199052,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17169,7463,0.56,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17175,5843,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17177,47328,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17179,135863,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17183,81427,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17185,11796,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17187,17831,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17189,14574,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17193,14592,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17195,58288,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17197,680813,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,17199,66745,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,17201,293667,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,17203,38849,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18001,34370,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18003,359013,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18005,77639,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18007,8859,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18009,12655,0.66,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18011,57924,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18019,111504,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18021,26847,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18023,33034,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18025,10622,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18027,31952,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18029,49990,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18035,117914,0.46,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18039,198292,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18043,74987,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18049,20734,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18051,33525,0.62,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18053,69633,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18057,283405,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18059,70373,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18063,148678,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18065,49221,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18067,82805,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18069,37169,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18071,42922,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18073,33429,0.62,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18075,21336,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18077,32273,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18079,28154,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18083,38479,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18085,77349,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18089,495035,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18091,111328,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18093,46144,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18095,131013,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18097,911294,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18099,46944,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18103,36658,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18107,38340,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18109,69237,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18115,6055,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18117,19942,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18123,19429,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18127,165535,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18129,25695,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18133,37868,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18137,28646,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18141,266726,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18143,23909,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18147,20971,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18153,21216,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18155,10633,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18157,175892,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18159,15817,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18163,180488,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18167,108350,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18169,32574,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18173,60213,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18177,68661,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,18179,27737,0.90,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,18181,24594,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,18183,33357,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19001,7546,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19003,3994,1.04,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19005,14224,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19007,12853,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19009,6000,3.47,>1.10
Neuroinvasive disease cases,1999-2022,19011,26079,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19013,131598,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,19015,26287,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19017,24383,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19021,20310,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19023,14966,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19025,10064,1.24,>1.10
Neuroinvasive disease cases,1999-2022,19027,20860,0.80,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19029,13762,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19031,18362,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19033,43971,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19035,12027,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19037,12407,0.67,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19039,9318,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19045,49105,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19047,17213,1.45,>1.10
Neuroinvasive disease cases,1999-2022,19049,69699,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19053,8250,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19057,40074,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19059,16861,1.48,>1.10
Neuroinvasive disease cases,1999-2022,19061,94656,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,19063,10092,2.06,>1.10
Neuroinvasive disease cases,1999-2022,19065,20975,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19067,16095,0.78,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19069,10695,0.78,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19071,7371,1.70,>1.10
Neuroinvasive disease cases,1999-2022,19073,9331,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19079,15468,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19081,11296,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19083,17376,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19085,14764,2.26,>1.10
Neuroinvasive disease cases,1999-2022,19087,20252,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19091,9782,0.85,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19093,7046,1.18,>1.10
Neuroinvasive disease cases,1999-2022,19097,19734,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19099,36624,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19103,134125,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,19105,20743,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19107,10399,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19109,15396,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19111,35575,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19113,214242,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,19115,11384,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19117,8879,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19119,11694,3.21,>1.10
Neuroinvasive disease cases,1999-2022,19121,15738,0.79,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19123,22506,0.56,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19125,33274,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19127,41013,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19129,15031,0.83,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19133,9238,3.16,>1.10
Neuroinvasive disease cases,1999-2022,19135,8057,1.03,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19137,10633,3.13,>1.10
Neuroinvasive disease cases,1999-2022,19139,42847,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19141,14217,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19143,6315,1.32,>1.10
Neuroinvasive disease cases,1999-2022,19145,15900,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19147,9354,0.89,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19149,24824,1.17,>1.10
Neuroinvasive disease cases,1999-2022,19151,7203,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19153,438783,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19155,93517,1.29,>1.10
Neuroinvasive disease cases,1999-2022,19157,18900,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19159,5048,1.65,>1.10
Neuroinvasive disease cases,1999-2022,19161,10223,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19163,166686,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,19165,11997,1.74,>1.10
Neuroinvasive disease cases,1999-2022,19167,34022,2.94,>1.10
Neuroinvasive disease cases,1999-2022,19169,91164,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19171,17613,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19177,7512,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19179,35484,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,19181,46654,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19183,21825,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19187,37754,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19189,10699,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19193,102741,0.89,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,19197,13032,0.96,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20005,16756,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20007,4922,0.85,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20009,27700,1.35,>1.10
Neuroinvasive disease cases,1999-2022,20015,65854,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20017,2768,1.51,>1.10
Neuroinvasive disease cases,1999-2022,20023,2693,1.55,>1.10
Neuroinvasive disease cases,1999-2022,20025,2121,5.89,>1.10
Neuroinvasive disease cases,1999-2022,20027,8526,1.47,>1.10
Neuroinvasive disease cases,1999-2022,20029,9420,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20035,36259,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20037,39210,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,20039,2927,2.85,>1.10
Neuroinvasive disease cases,1999-2022,20041,19686,1.48,>1.10
Neuroinvasive disease cases,1999-2022,20043,7961,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20045,112500,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20051,28772,1.16,>1.10
Neuroinvasive disease cases,1999-2022,20053,6467,0.64,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20055,37114,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20057,34371,1.58,>1.10
Neuroinvasive disease cases,1999-2022,20059,25861,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20065,2635,1.58,>1.10
Neuroinvasive disease cases,1999-2022,20067,7893,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20069,6086,5.48,>1.10
Neuroinvasive disease cases,1999-2022,20071,1255,3.32,>1.10
Neuroinvasive disease cases,1999-2022,20075,2634,1.58,>1.10
Neuroinvasive disease cases,1999-2022,20077,5938,2.11,>1.10
Neuroinvasive disease cases,1999-2022,20079,34698,1.08,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20081,4235,1.97,>1.10
Neuroinvasive disease cases,1999-2022,20083,1957,4.26,>1.10
Neuroinvasive disease cases,1999-2022,20085,13429,1.24,>1.10
Neuroinvasive disease cases,1999-2022,20089,3091,4.04,>1.10
Neuroinvasive disease cases,1999-2022,20091,553034,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20093,3960,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20095,7891,1.58,>1.10
Neuroinvasive disease cases,1999-2022,20097,2558,1.63,>1.10
Neuroinvasive disease cases,1999-2022,20101,1743,2.39,>1.10
Neuroinvasive disease cases,1999-2022,20105,3232,1.29,>1.10
Neuroinvasive disease cases,1999-2022,20111,33651,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20113,29158,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20115,12546,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20117,9985,1.25,>1.10
Neuroinvasive disease cases,1999-2022,20119,4519,5.53,>1.10
Neuroinvasive disease cases,1999-2022,20123,6284,1.33,>1.10
Neuroinvasive disease cases,1999-2022,20125,34790,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,20131,10087,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20133,16454,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20135,3118,2.67,>1.10
Neuroinvasive disease cases,1999-2022,20141,3833,4.35,>1.10
Neuroinvasive disease cases,1999-2022,20143,6063,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20145,6977,1.19,>1.10
Neuroinvasive disease cases,1999-2022,20147,5540,3.01,>1.10
Neuroinvasive disease cases,1999-2022,20149,22033,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20151,9644,3.46,>1.10
Neuroinvasive disease cases,1999-2022,20155,64432,1.10,>1.10
Neuroinvasive disease cases,1999-2022,20157,4892,2.56,>1.10
Neuroinvasive disease cases,1999-2022,20159,10096,2.06,>1.10
Neuroinvasive disease cases,1999-2022,20161,73449,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20163,5201,1.60,>1.10
Neuroinvasive disease cases,1999-2022,20165,3211,3.89,>1.10
Neuroinvasive disease cases,1999-2022,20167,6985,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20169,55785,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20171,4892,3.41,>1.10
Neuroinvasive disease cases,1999-2022,20173,501051,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20175,23131,0.72,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20177,178968,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20181,6055,2.75,>1.10
Neuroinvasive disease cases,1999-2022,20183,3791,2.20,>1.10
Neuroinvasive disease cases,1999-2022,20185,4383,3.80,>1.10
Neuroinvasive disease cases,1999-2022,20187,2213,3.77,>1.10
Neuroinvasive disease cases,1999-2022,20189,5631,0.74,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,20191,23788,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,20193,7948,1.57,>1.10
Neuroinvasive disease cases,1999-2022,20195,2953,4.23,>1.10
Neuroinvasive disease cases,1999-2022,20199,1525,2.73,>1.10
Neuroinvasive disease cases,1999-2022,20201,5820,2.86,>1.10
Neuroinvasive disease cases,1999-2022,20203,2260,1.84,>1.10
Neuroinvasive disease cases,1999-2022,20209,158039,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21001,18984,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21009,42322,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21013,28656,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21015,121742,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21021,28800,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21023,8512,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21027,20276,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21029,75192,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21037,91631,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21047,73516,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21049,35438,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21059,97185,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21061,12244,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21065,14662,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21067,301766,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21071,39760,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21081,24771,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21083,37608,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21087,11218,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21089,36848,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21093,107542,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21099,18286,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21103,15373,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21107,46849,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21111,746458,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21117,160562,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21125,59364,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21137,24728,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21141,26851,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21145,65808,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21147,18290,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21151,84787,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21155,20012,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21157,31264,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21161,17545,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21171,10917,1.15,>1.10
Neuroinvasive disease cases,1999-2022,21199,63519,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21213,17308,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21217,24952,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,21225,15264,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,21227,115889,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,21237,7365,1.13,>1.10
Neuroinvasive disease cases,1999-2022,22001,61872,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,22003,25740,0.65,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22005,110084,1.44,>1.10
Neuroinvasive disease cases,1999-2022,22007,23186,0.72,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22009,41805,0.70,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22011,36101,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22013,14262,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,22015,120122,1.60,>1.10
Neuroinvasive disease cases,1999-2022,22017,257058,2.45,>1.10
Neuroinvasive disease cases,1999-2022,22019,193881,0.77,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22021,10123,2.06,>1.10
Neuroinvasive disease cases,1999-2022,22025,10289,0.81,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22027,16940,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,22029,20844,1.20,>1.10
Neuroinvasive disease cases,1999-2022,22031,26782,1.40,>1.10
Neuroinvasive disease cases,1999-2022,22033,441627,1.53,>1.10
Neuroinvasive disease cases,1999-2022,22037,20079,2.08,>1.10
Neuroinvasive disease cases,1999-2022,22039,33840,0.62,0.38 to 1.09
